text,category
"TV debate urged for party chiefs
 
 Broadcasters should fix a date for a pre-election televised debate between the three main political leaders, according to the Hansard Society.
 
 It would then be up to Tony Blair, Michael Howard and Charles Kennedy to decide whether to take part, the non-partisan charity said. Chairman Lord Holme argued that prime ministers should not have the right of veto on a matter ""of public interest"". ""The broadcasters should make the decision to go ahead,"" he said.
 
 Lord Holme's proposal for a televised debate comes just four months after millions of viewers were able to watch US President George W Bush slug it out verbally with his Democratic challenger John Kerry. He said it was a ""democratically dubious proposition"" that it was up to the incumbent prime minister to decide whether a similar event takes place here.
 
 If Mr Blair did not want to take part, the broadcasters could go ahead with an empty chair or cancel the event and explain their reasons why, Lord Holme said. ""What makes the present situation even less acceptable is that although Mr Howard and Mr Kennedy have said they would welcome a debate, no-one has heard directly from the prime minister,"" he said. ""It has been left to nudges and winks, hints and briefings from his aides and campaign managers to imply that Mr Blair doesn't want one, but we haven't heard from the prime minister himself.""
 
 Lord Holme, who has campaigned for televised debates at previous elections, said broadcasters were ""more than willing to cooperate with the arrangements"". Opinion polls suggested that the idea had the backing of the public who like comparing the personalities and policies of the contenders in their own homes, he said.
 
 Lord Holme argued that as part of their public service obligations, broadcasters ""should make the decision to go ahead"" as soon as the election is called. An independent third-party body such as the Hansard Society or Electoral Commission could work out the ground rules so they were fair to participants and informative to the public, he said. ""It would be up to each party leader to accept or refuse,"" said Lord Holme.
 
 ""If the prime minister's reported position is true and he does want to take part, he would then be obliged to say why publicly. ""The broadcasters would then have the option of cancelling the event for obvious and well-understood reasons, or going ahead with an empty chair. ""Either way would be preferable to the present hidden veto."" The Hansard Society has long campaigned for televised debates and has published reports on the issue in 1997 and 2001. Tony Blair has already ruled out taking part in a televised debate during the forthcoming election campaign. Last month he said: ""We answer this every election campaign and, for the reasons I have given before, the answer is no,"" he said at his monthly news conference.""
",politics
"Brown ally rejects Budget spree
 
 Chancellor Gordon Brown's closest ally has denied suggestions there will be a Budget giveaway on 16 March.
 
 Ed Balls, ex-chief economic adviser to the Treasury, said there would be no spending spree before polling day. But Mr Balls, a prospective Labour MP, said he was confident the chancellor would meet his fiscal rules. He was speaking as Sir Digby Jones, CBI director general, warned Mr Brown not to be tempted to use any extra cash on pre-election bribes.
 
 Mr Balls, who stepped down from his Treasury post to stand as a Labour candidate in the election, had suggested that Mr Brown would meet his golden economic rule - ""with a margin to spare"". He said he hoped more would be done to build on current tax credit rules.
 
 He also stressed rise in interest rates ahead of an expected May election would not affect the Labour Party's chances of winning. Expectations of a rate rise have gathered pace after figures showed house prices are still rising. Consumer borrowing rose at a near-record pace in January. ""If the MPC (the Bank of England's Monetary Policy Committee) were to judge that a rate rise was justified before the election because of the strength of the economy - and I'm not predicting that they will - I do not believe that this will be a big election issue in Britain for Labour,"" he told a Parliamentary lunch. ""This is a big change in our political culture.""
 
 During an interview with BBC Radio 4's Today programme, Mr Balls said he was sure Mr Brown's Budget would not put at risk the stability of the economy. ""I don't think we'll see a pre-election spending spree - we certainly did not see that before 2001,"" he said.
 
 His assurances came after Sir Digby Jones said stability was all important and any extra cash should be spent on improving workers' skills. His message to the chancellor was: ""Please don't give it away in any form of electioneering."" Sir Digby added: ""I don't think he will. I have to say he has been a prudent chancellor right the way through. Stability is the key word - British business needs boring stability more than anything. ""We would say to him 'don't increase your public spending, don't give it away. But if you are going to anywhere, just add something to the competitiveness of Britain, put it into skilling our people'. ""That would be a good way to spend any excess.""
 
 Mr Balls refused to say whether Mr Brown would remain as chancellor after the election, amid speculation he will be offered the job of Foreign Secretary. ""I think that Gordon Brown wants to be part of the successful Labour government which delivers in the third term for the priorities of the people and sees off a Conservative Party that will take Britain backwards,"" Mr Balls told Today. Prime Minister Tony Blair has yet to name the date of the election, but most pundits are betting on 5 May.
",politics
"Teenagers to be allowed to be MPs
 
 Teenagers will be able to become MPs under plans unveiled by ministers.
 
 In a written statement, Constitutional Affairs Minister Christopher Leslie said the current minimum age of 21 for an MP would be reduced to 18. The proposals follow a recommendation last year by elections watchdog the Electoral Commission. ""The government intends to legislate, when parliamentary time allows, to lower the age,"" said Mr Leslie, who was elected in 1997 at the age of 24. Even if the move does go ahead it is unlikely it will be in place before the next general election, widely predicted for May.
 
 The announcement from Mr Leslie - who was elected in 1997 in a formerly safe Tory seat - prompted calls for a lowering of the voting age to 16. The Votes at 16 alliance said it was a good thing to ""engage people"" by lowering the candidacy age but argued lowering the voting age would be much more effective. ""Candidacy affects only politicians. The voting age affects millions of younger people,"" said spokesman Alex Folkes. ""We would hope that the government will table a bill that is broad enough to allow for amendments to be brought to test support for a reduction in the voting age.""
 
 Currently candidates in both local and national votes must be 21 while the voting age is 18. That is because the age of majority was reduced to 18 in 1969 but laws dating from 1695 which determine the current voting age stayed in place. Irish republican Bernadette Devlin was one of just a handful of 21-year-olds elected to Parliament in the 20th century winning a seat in 1969. But the youngest is understood to have been Tory Edward Turnour, who won the 1904 Horsham by-election aged 21 and 144 days and served in Parliament for 47 continuous years. Last April's report by the Electoral Commission said there was no strong argument for leaving the age for standing for election at 21. The commission found the most common approach around the world is for the voting age to be the same as the candidacy age.
",politics
"Milburn defends poster campaign
 
 Labour's election chief Alan Milburn has defended his party's campaign posters amid Tory claims the ads were nothing short of ""sly anti-Semitism"".
 
 Mr Milburn said he appreciated people's concerns, but insisted that ""what they were was anti-Tory"" and ""not in any way, shape or form anti-Semitic"". He was responding to Tory spokesman Julian Lewis who said the ads were part of a wider trend of smearing the party. Labour has withdrawn two controversial posters and launched four new designs.
 
 A row was sparked after the party published posters appearing to depict Michael Howard, who is Jewish, as Fagin, and as a flying pig, amid claims they were anti-Semitic. The posters were labelled a ""big misjudgement"" by the Conservatives who said Labour's ""first shot in the election has badly backfired"".
 
 The posters were among a series of ideas shown to Labour members, who were asked to vote on their favourite. Labour has taken them off its website, saying members preferred other posters. The party's four new designs, launched on Tuesday, steer clear of the Fagin or flying pig images, but make clear that Labour is sticking to its strategy of targeting the Tory leader personally, with reminders of his record in office.
 
 The posters were among a series of ideas shown to Labour members, who have been asked to choose which one should be used ahead of the election. In the Commons, Tory spokesman Mr Lewis suggested the posters were part of a wider trend and reminded MPs that Labour chairman Ian McCartney last year described shadow chancellor Oliver Letwin as a ""21st Century Fagin"".
 
 ""Given the outrage that that smear caused then, how could you have thought anything other than the fact that what you were doing in reviving it in your poster advertisements was nothing more and nothing less than a calculated campaign of sly anti-Semitism?"" Mr Milburn replied that they were not anti-Semitic. ""What they were was anti-Tory and I make no apologies at all for making clear to the British public exactly what the Conservative plans would mean,"" he said. ""I fully understand and indeed respect the views of those who have concerns about any poster designs that have appeared on the Labour Party website."" The Fagin and pigs might fly posters were taken off Labour's website on Monday after supporters voted for their favourite poster featuring Mr Howard and shadow chancellor Oliver Letwin holding a blackboard reading 2+2=5. A Labour spokesman later said their removal from the party's website was not affected by the row.
",politics
"Labour attacked on Howard poster
 
 Labour has been accused of using anti-Semitic images in posters which critics claim depict Tory leader Michael Howard as Fagin.
 
 The poster shows Mr Howard hypnotising people with a pocket watch, saying: ""I can spend the same money twice."" The image prompted concern from the editor of the Jewish Chronicle but Labour insists it is simply anti-Tory. Labour later took the image off its website, saying an alternative idea had proved more popular with party members. The party will now use focus groups to test a poster showing Mr Howard and shadow chancellor Oliver Letwin with a blackboard reading: ""2+2=5"".
 
 The hypnotism poster has been compared to the portrayal of the Dickens character Fagin in the stage version of the musical Oliver! There was controversy over another poster choice offered to Labour members. It showed Mr Howard and Mr Letwin - who are both Jewish - as flying pigs. Mr Howard did not comment on the anti-Semitism claims when asked about the poster on Monday. Instead, he pointed to how Tony Blair had in 1997 complained about ""personalised abusive campaigning"". Mr Howard told Greater Manchester Radio: ""It is such a pity that Mr Blair doesn't practise what he preaches.""
 
 Jewish Chronicle editor Ned Temko said there had been a mixed reaction to the first poster but e-mails from Jewish Chronicle readers showed deeper concern about the hypnotism image. ""Shylock and Fagin are inextricably linked to notions of centuries-old prejudice,"" he told BBC Radio 4's World At One. ""Whatever the idea is, I think it's a difficult exercise to use images like that and to argue that you can divorce them from their historical context or meaning."" Mr Temko said he blamed ""cock-up not conspiracy"", saying he did not detect inherent anti-Semitism in any of the parties' election campaigns.
 
 The poster is among one of a series of ideas shown to Labour members, who have been asked to choose which one should be used ahead of the election. Labour MP Louise Ellman said the hypnotism image was insensitive but urged people not to rush to call things anti-Semitic when they only challenged Tory economic policies. Labour campaign spokesman Fraser Kemp said the poster had been misunderstood. The image simply portrayed Mr Howard as a hypnotist, he argued. ""Concern has been expressed and clearly we have to take those views on board but I would emphasise that if you see the posters, the common theme... is that the Tories are trying to con you."" A Labour spokesman later said the timing of removing the controversial image from the party's website was not affected by the row. ""This has been up on the website for two weeks and there has only been a fuss in the last four days so a substantial number of people voted before there was any fuss,"" he said. But a Conservative spokeswoman said: ""This poster campaign - which was offensive to many people - was a big misjudgement by Labour's campaign team.""
",politics
"Kennedy questions trust of Blair
 
 Lib Dem leader Charles Kennedy has said voters now have a ""fundamental lack of trust"" of Tony Blair as prime minister.
 
 He said backing his party was not a wasted vote, adding that with the Lib Dems ""what you see is what you get"". He made his comments at the start of a day of appearances on Channel Five in a session on The Wright Stuff programme. Questions from callers, a studio audience and the show's presenter covered Lib Dem tax plans, anti-terror laws and immigration.
 
 Mr Kennedy said during his nearly 22 years in Parliament he had seen prime ministers and party leaders come and go and knew the pitfalls of British politics. ""1983 was when I was first elected as an MP - so Tony Blair, Michael Howard and myself were all class of '83 - and over that nearly quarter of a century the world has changed out of recognition,"" he said. ""We don't actually hear the argument any longer: 'Lib Dems, good people, reasonable ideas but only if we thought they could win around here - it's a wasted vote'. ""You don't hear that because the evidence of people's senses demonstrates that it isn't a wasted vote."" But he said Mr Blair had lost the trust of the British people. ""There is a fundamental lack of trust in Tony Blair as prime minister and in his government,"" he said.
 
 ""What we've got to do as a party - what I've got to do as a leader of this party - is to convey to people that what you see is what you get."" Mr Kennedy also used his TV appearance to defend his party's plans to increase income tax to 50% for those earning more than £100,000, saying it would apply to just 1% of the population. He said the extra revenue would allow his party to get rid of tuition and top-up fees, introduce free personal care for the elderly and replace the council tax with a local income tax. Mr Blair has already spent a day with Five and Michael Howard is booked for a similar session.
",politics
"Manchester wins Labour conference
 
 The Labour Party will hold its 2006 autumn conference in Manchester and not Blackpool, it has been confirmed.
 
 The much trailed decision was ratified by Labour's ruling National Executive Committee in a break with the traditional choice of a seaside venue. It will be the first time since 1917 that the party has chosen Manchester to host the annual event. Blackpool will get the much smaller February spring conference instead in what will be seen as a placatory move.
 
 For years the main political parties have rotated between Blackpool, Bournemouth and Brighton. And the news the much larger annual conference is not to gather in Blackpool will be seen as a blow in the coastal resort. In 1998 the party said it would not return to Blackpool but did so in 2002. The following year Bournemouth hosted the event before the party signed a two year deal for Brighton to host the autumn conference.
 
 Colin Asplin, Blackpool Hotel Association said: ""We have tried very hard to make sure they come back to Blackpool. ""Obviously we have failed in that. I just hope Manchester can handle the crowds. ""It amazes me that the Labour Party, which is a working class party, doesn't want to come to the main working class resort in the country."" The exact cost to Blackpool in terms of lost revenue for hotel accommodation is not yet known but it is thought that block bookings will be taken at the major Manchester hotels after the official announcement.
",politics
"Howard attacks 'pay later' Budget
 
 Tory leader Michael Howard has dismissed Gordon Brown's Budget as ""vote now, pay later"" spending plans.
 
 The simple fact was that under a new Labour government taxes would go up after the election to plug a financial black hole, Mr Howard said. Everyone could see the chancellor's ""sweeteners"", but these hid tax rises for hard working families, he said. Labour's ""faltering election campaign"" would not be helped by the package of measures, Mr Howard added.
 
 Mr Brown's Budget was not about what was good for the country, but ""all about the interests of the Labour party,"" the Tory leader said after mockingly welcoming the chancellor back to the election campaign. He went on to accuse Mr Brown of giving with one hand while taking away with the other. He urged the chancellor to admit he had been responsible for dragging ""millions of people in to the net"" to pay stamp duty and inheritance tax. ""We can all see the sweeteners, but they hide the crippling tax rises for hard-working families that are inevitable if Labour wins.""
 
 He also accused the government and the chancellor of running out of solutions to the problems Britain faced. ""Their only answer is to tax, to spend and to waste - to get people to vote now and pay later."" Mr Brown liked to rattle off ""magical balances conjured out of thin air"" in a bid to convince people there was no ""black hole"" in the nation's finances, the Tory leader said. ""This dodgy government that brought us the dodgy dossier is now publishing a dodgy Budget based on dodgy numbers,"" he said. ""You now propose to borrow, over the next six years, no less than £168 billion; so much for prudence. ""The chancellor's forecasts of surpluses are no better than the prime minister's forecasts of weapons of mass destruction.""
 
 Mr Brown's council tax rebate for pensioners was £300 less than what the Tories were offering, Mr Howard said. There was nothing in the Budget that would put more police on the streets, make hospitals cleaner or give parents and teachers the discipline and skills they wanted in schools. People would face a ""clear choice"" at the election, either ""more waste and higher taxes under Labour or lower taxes and value for money with the Conservatives"", he said. ""That's the battleground of this election. That's what this election is going to be all about and I say bring it on,"" he concluded, to loud Tory cheering.
",politics
"Parties build up poll war chests
 
 The Labour Party received more than £5m in donations in the final quarter of 2004, new figures show.
 
 This is nearly half of the £11,724,929 received by 16 political parties listed by the Electoral Commission. The Conservatives were in second place with donations totalling £4,610,849, while the Liberal Democrats received just over £1m. The majority of Labour's donations came from affiliated trade unions. There were also large sums from individuals. Lord Drayson, whose company PowderJect won multi-million pound contracts to provide smallpox vaccine to the government after the 11 September terror attacks, gave £500,000 to the party just days before Christmas.
 
 This followed an earlier donation of the same amount earlier in 2004. He was made a lord by Tony Blair last year. Other significant donations came from retired millionaire businessman and philanthropist Sir Christopher Ondaatje who gave the party a sum of £500,000, and refrigerator magnate William Haughey OBE who gave £330,000. The totals for the fourth quarter were well up on the same period of 2003, as the parties built up their war chests for the general election campaign. The largest donation to the Conservatives was a bequest from Ruth Beardmore of nearly £400,000. The joint founder of merchant bank Hambro Magan gave £325,417. There were also donations topping £250,000 for the Conservatives from Scottish Business Groups Focus on Scotland and the Institute of International Research, the world's largest independent conference company.
 
 Also among the gifts to the Tories were 24 donations totalling £161,840 from Bearwood Corporate Services. This company is controlled by the party's former treasurer Lord Ashcroft which has directed almost £300,000 to specific marginal constituencies over the past two years. The Liberal Democrats' largest donor was the Joseph Rowntree Reform Trust Ltd, a company which promotes political reform and constitutional change, which gave a sum of £250,000. And fast food giants McDonald's are listed as donating a sum of £10,575. This was a fee the firm paid for a room for an event held with the work and skills foundation during the party's conference. The UK Independence Party, which lost its main donor Paul Sykes amid the row over Robert Kilroy-Silk's bid for the leadership last autumn, took in £63,081. Just £8,170 of this was cash and the remainder came in gifts in kind, such as office space and printing. Registered political parties are required to set out each quarter all donations over £5,000 to their headquarters and over £1,000 to local constituency parties they receive. It is an offence for a person to knowingly or recklessly make a false declaration about party donations.
",politics
"UK heading wrong way, says Howard
 
 Tony Blair has had the chance to tackle the problems facing Britain and has failed, Michael Howard has said.
 
 ""Britain is heading in the wrong direction"", the Conservative leader said in his New Year message. Mr Blair's government was a ""bossy, interfering government that takes decisions that should be made by individuals,"" he added. But Labour's campaign spokesman Fraser Kemp responded: ""Britain is working, don't let the Tories wreck it again"". Mr Howard also paid tribute to the nation's character for its generous response to the Asian quake disaster. The catastrophe was overshadowing the hopes for the future at this usually positive time of the year, Mr Howard said.
 
 ""We watched the scenes of destruction with a sense of disbelief. The scale, the speed, the ferocity of what happened on Boxing Day is difficult to grasp. ""Yet Britain's response has shone a light on our nation's character. The last week has shown that the warm, caring heart of Britain beats as strong as ever."" He went on to reflect on the values that ""most Britons hold dear"". Looking ahead to the coming general election, he pledged to ""turn these beliefs into reality"" and set out the choices he says are facing Britain. ""How much tax do people want to pay? Who will give taxpayers value for money, the clean hospitals and good, disciplined schools they want? ""Who can be trusted to get a grip on the disorder on our streets and the chaos in our immigration system?""
 
 Mr Blair has failed to tackle these problems, he claimed, saying he has the ""wrong solution"" to them.
 
 ""The result is big government and higher taxes eroding incentives, undermining enterprise and denying people choice. ""Worst of all, it is a government that has wasted people's money and failed to tackle the problems families face today."" The Tories, he said, can cut crime and improve public services without asking people to pay more taxes. ""We can have progress without losing what makes Britain great - its tolerance, the respect for the rule of law, the ability of everyone to fulfil their potential. ""We simply need to change direction. The election will give Britain the chance to change."" This is the record Mr Blair will have to defend in the coming months, he said, urging voters to hold him to account.
 
 But Labour spokesman Mr Kemp said: ""It would be more appropriate for this message to come out on 1 April, not 1 January."" ""Let us never forget that when Michael Howard was in government Britain suffered mass unemployment, 15% interest rates, record home repossessions, and the introduction of the poll tax. ""With Labour Britain is working. Rather than alluding to false promises Michael Howard should be starting 2005 with an apology to the British people for the misery that the government, of which he was a member, inflicted upon the country.
",politics
