text,category
"Lib Dems target first-time buyers
 
 The Liberal Democrats have unveiled plans to build 100,000 new ""affordable"" homes on publicly owned land.
 
 The party's scheme would allow people to buy a share in a home through a mutual home ownership trust, as a way of getting onto the housing ladder. The Lib Dems would also encourage the conversion of existing buildings in an effort to protect greenfield sites. Labour has already announced plans to help first-time buyers and the Tories would extend right-to-buy schemes.
 
 All the major parties are focusing on the issue in the run-up to the election after a survey suggested first-time buyers could not afford a home in 92% of UK towns. The Lib Dems say their ""mutual homes"" would let people buy a share of a property, usually worth about 5% of the building costs. Party leader Charles Kennedy said the homes would be affordable because they would be built on surplus public sector land, donated by central or local government. People would also only have to pay for the cost of the building and not the land, he added.
 
 They would spend about 30% of their monthly salary on rent and buying extra shares in the property. When they moved house, they would be able to cash in on any rise in property prices by selling their share. It would also allow councils to vary discounts to tenants given the right to buy their council homes so local needs were taken into account. Mr Kennedy said: ""Mutual homes will offer people the opportunity to build up an equity stake in a home gradually, investing only as much as they can afford.""
 
 There are also plans to prevent high house prices forcing people out of their local communities. The kind of ""golden share"" used by the Lib Dems in South Shropshire could be rolled out more widely. Under the plan, councils secure deals with developers where they keep a 1% share in a property scheme so properties cannot be sold on the open market. Instead, they are sold at ""build cost"" to people who the local council decides have local needs. The party says its help for first-time buyers can be funded at no extra cost to the taxpayer. But the plans involve changing the VAT system, which the party says often makes it too expensive to renovate existing buildings.
 
 The Conservatives claimed the plans would amount to an extra tax of up to £11,000 on every new house. ""This is typical of Lib Dem hypocrisy,"" said Tory shadow local government secretary Caroline Spelman. ""They claim that they want to help people on to the property ladder, but the small print of their policies reveal how they intend to price even more people out of the housing market."" The flagship Tory proposal on housing policy is to give a million more housing association tenants the right to buy their homes. Labour has said it will allow 300,000 council and housing association tenants to buy a share in their homes. Housing Minister Keith Hill said much of the Lib Dem plans mimicked the government's strategy. ""However, as usual, the Lib Dems' proposals are completely uncosted,"" he said. Mr Hill said he also asked whether the Lib Dems would match Labour's promise to spend £42bn on making refurbishing and repair council homes by 2010.
",politics
"Blair backs 'pre-election budget'
 
 Tony Blair has backed Chancellor Gordon Brown's pre-Budget report amid opposition claims he was too bullish about the state of the UK economy.
 
 In a speech in Edinburgh, the prime minister said Thursday's report reinforced stability and opportunity. And that would be central to Labour's next election campaign, planning for which was already well advanced. Mr Brown earlier denied his economic forecasts were too optimistic - but refused to rule out future tax rises.
 
 He told BBC Radio 4's Today programme: ""No politician should make the mistake that John Major and his colleagues made in 1992 of saying no matter what the circumstances are, they can make all sorts of guarantees on every individual thing.
 
 ""That is not what politicians should do, it would not be responsible to do."" Mr Brown insisted his spending plans were ""affordable"" and he could afford to be optimistic because Britain was now a stable, low-inflation economy and house prices were now stabilising. Mr Blair praised his chancellor for his role in creating economic stability, which he said was the ""cornerstone"" of Labour's programme.
 
 In a speech at Edinburgh's Napier University, he said Labour would publish over the next few months ""a rich agenda for future policy in any possible third term"".
 
 ""In every area of work there is a detailed plan for the future, much clearer than those in 1997 or 2001. All of it fits together around common themes of opportunity, security and stability for all,"" Mr Blair said. In his pre-Budget report, Mr Brown surprised some City experts by forecasting UK growth at between 3% and 3.5% for next year. Many believe the figure is more likely to be under 3% - and fear tax rises or spending cuts, saying tax receipts have been overestimated. Carl Emmerson, from the Institute for Fiscal Studies, told BBC News: ""He thinks everything will come out in the wash and it will, in fact, be OK. We're not so sure."" David Page, of Investec Securities, said: ""His forecast that he will meet the golden rule with a margin of £8bn is way too optimistic. ""It's going to take a significant turnaround in the economy to meet these targets.""
 
 Conservative Shadow chancellor Oliver Letwin said: ""I can't find a single economic forecaster from the IMF to the Institute of Fiscal Studies who believes anything other than the chancellor has got a black hole in his finances. ""In order to deal with that he will have to raise taxes after the next general election."" Mr Letwin accused the chancellor of using ""fancy statistics"" to hide public service failures. Vincent Cable, for the Liberal Democrats, called on Mr Brown to open up the government's books to the National Audit Office, to see if he had met his ""golden rule"". ""It is very clear that there are some serious loose ends in government public spending,"" Mr Cable told MPs.
",politics
"Lib Dems stress Budget trust gap
 
 Public trust in the handling of the economy can only be restored if Gordon Brown opens up his books for unbiased inspection, say the Lib Dems.
 
 City experts say there is a £10bn ""black hole"" in the public finances, a claim denied by the chancellor. Lib Dem spokesman Vince Cable said the public did not know who to believe and the National Audit Office should judge. Responding to the pre-Budget report, Mr Cable also attacked Labour's ""unfair"" and over-complicated taxes.
 
 In his report, Mr Brown insisted he was on course to meet his ""golden rule"" of borrowing only to invest, rather than for day-to-day spending, over the course of the economic cycle. Mr Cable said people did not know whether to believe the chancellor or the consensus among experts which said the rule would be broken. ""There is an issue of credibility and trust,"" he said. ""We cannot have a continuation of a situation where the chancellor sets his own tests and then marks them. ""What we need is the equivalent of a thorough Ofsted inspection of the government's accounts."" He asked what the government had to hide.
 
 Mr Cable also accused the chancellor of ducking tough choices. He argued: ""There are serious challenges ahead from the falling dollar and from the rapid downturn in the UK housing market and rising personal debt. But they have not been confronted."" Mr Brown confirmed he was setting aside another £520m for the conflicts in Iraq and Afghanistan. Mr Cable compared that new cost with the £500m needed for Britain's role in the entire first Gulf War - when 80% of the bill had been met through help from European and Arab nations. He suggested keeping British troops in Iraq could cost another £1bn with the government also planning to spend at least £3bn for identity cards. The current economic climate meant Britain could not afford the ""reckless, George Bush-style tax cutting spree"" planned by the Tories, he said. Instead, what was needed was simple and fair taxation rather than the ""complete mess"" produced by Mr Brown's endless tinkering.
 
 Mr Cable said 40% of all pensioners were now paying marginal tax rates of 50%. And one-and-a-half million hard working families were paying 60% marginal tax rates. With that record, he asked why ministers attacked Lib Dem plans for a new 50% tax rate for the ""very rich"" - those earning more than £100,000 a year. Mr Brown earmarked £1bn to help keep down council tax rises next year. But the Lib Dem spokesman questioned whether that money was being found from cuts to education and health. He urged the government to scrap the ""grossly unfair"" tax completely. The Lib Dems want it replaced with a local income tax. In response, Mr Brown stressed the Iraq money came from a reserve funds. It was because he had rejected previous Lib Dem proposals, such as scrapping the New Deal, that Britain's economy was successful, claimed Mr Brown.
",politics
"Kennedy predicts bigger turnout
 
 Voters' ""pent up passion"" could confound predictions of a low turnout in the coming general election, Charles Kennedy has said.
 
 The Liberal Democrat leader predicted concerns over Iraq and other international and domestic issue would express themselves during the campaign. His comments come as an inquiry looks at how best to boost voter turnouts. Ex-foreign secretary Robin Cook said people were not apathetic but fed up of ""pager politics"" and not being heard. He, like Mr Kennedy, pointed to the hundreds of thousands of people who demonstrated against plans for the Iraq war.
 
 Mr Cook, who is giving evidence to the Power inquiry into voter turnout rates, told BBC Radio 4's Today Programme it was not fair to blame the public who were ""more interested in politics than ever before"". ""They are turned off by the way we do politics in Britain. There's a message there for politicians."" He urged politicians to avoid negative campaigning and to ""speak more from the heart"". ""We should be not so afraid to say what we stand for."" He also criticised the cult of personality politics: ""There's far too much interest in celebrities. ""Politics are in danger of becoming another branch of the celebrity industry."" The government has tried a number of things in an attempt to boost voter turnout, which fell to 59% in the last general election in 2001. This has included bringing in directly elected mayors to head local authorities and trialling postal voting.
",politics
"Cabinet anger at Brown cash raid
 
 Ministers are unhappy about plans to use Whitehall cash to keep council tax bills down, local government minister Nick Raynsford has acknowledged.
 
 Gordon Brown reallocated £512m from central to local government budgets in his pre-Budget report on Thursday. Mr Raynsford said he had held some ""pretty frank discussions"" with fellow ministers over the plans. But he said local governments had to deliver good services without big council tax rises.
 
 The central government cash is part of a £1bn package to help local authorities in England keep next year's council tax rises below 5%, in what is likely to be a general election year.
 
 Mr Raynsford said nearly all central government departments had an interest in well run local authorities. And he confirmed rows over the issue with ministerial colleagues. ""Obviously we had some pretty frank discussions about this,"" he told BBC Radio 4's The World at One. But he said there was a recognition that ""a good settlement for local government"" was important to health, education and ""other government departments"". Ministers had to be sure local government could deliver without ""unreasonable council tax increases"", he added. Mr Raynsford dismissed a suggestion the move was designed to keep council taxes down ahead of an expected general election.
 
 ""This is a response to the concerns that have been voiced by local government about the pressures they face."" Mr Raynsford also plans to make savings of £100m by making changes to local government pensions schemes. These would raise the age from which retiring workers could claim their pensions and limit how much they received if they retired early. He insisted the changes were ""very modest"" and designed to tackle the problem of workers retiring ""very early"". But general secretary of the public services union Unison Dave Prentis criticised the plans. ""If you want world class public services you don't get that by hitting people as they approach retirement.""
",politics
"Campaign 'cold calls' questioned
 
 Labour and the Conservatives are still telephoning the millions of people who have signed up to make sure they do not get marketing ""cold calls"".
 
 The parties say they can stick to the rules by ensuring that their calls are not marketing - for instance by asking about people's voting intentions. The Lib Dems are asking the watchdog overseeing the rules to stop the calls. The information commissioner's office says surveys are allowed but people had to be told if personal data was kept. Telephone call centres are expected to be used as never before by all the three major parties in the run-up to the general election.
 
 But seven million telephone numbers are on the Telephone Preference Service (TPS) lists, which ban unsolicited sales and marketing calls. Both schemes are run by the Direct Marketing Association and backed by EU directives on privacy and electronic communications.
 
 The rules on marketing calls apply as much to politicians as to private sector companies. But that does not mean Labour and the Tories are not calling people signed up to the TPS. A Labour Party spokesman told the BBC News website the party avoided those on TPS lists when telephoning people about membership or fundraising. But that did not happen for ""voter identification"" calls. ""When we ask which party they will vote for, that is not marketing and we have very clear legal advice that it is not,"" he said. ""So it is not covered by the Telephone Preference Service.""
 
 He said the party always asked people if they would be happy to be contacted again and if they said no, they were not rung again. A Conservative spokeswoman said the party stuck to the rules when it rang TPS subscribers. She said: ""We do apply TPS but in line with the law. We would not do things that are not allowed in the law."" Assistant information commissioner Phil Jones said it was classed as marketing if political parties telephoned people to encourage them to vote for them. But ""classic market research"", such as a poll of voter intentions, did not constitute direct marketing, he said. ""If a party is calling someone who is registered on TPS and records their voting intention with a view to using this information in the future, this should be clear to the voter concerned,"" said Mr Jones. ""If a party rings a person who is registered on TPS to ask about their voting intention and goes on to encourage that voter to support them, the party may well be in breach of the regulations. ""In summary, whether a party calling TPS registered voters to check their voting intentions will breach regulations will depend on the script used and whether the script is followed."" Mr Jones said the watchdog received ""very few complaints"" on the issue.
 
 Earlier, Lib Dem chairman Matthew Taylor wrote to the watchdog saying: ""The advice we have received on several previous occasions is that such phone calls are illegal."" He says evidence from local Lib Dem parties around the country suggests there are ""significant"" numbers of such calls. ""I hope you can therefore take swift and efficient action to ensure that this ceases,"" he tells the commissioner. Mr Taylor argues there should be new guidelines so all parties can act in the same way if the watchdog believes the rules allow parties to ring TPS numbers about voting intentions and later urge those people to vote for them.
",politics
"Apple iPod family expands market
 
 Apple has expanded its iPod family with the release of its next generation of the digital music players.
 
 Its latest challenges to the growing digital music gadget market include an iPod mini model which can hold 6GB compared to a previous 4GB. The company, which hopes to keep its dominant place in the digital music market, also said the gold coloured version of the mini would be dropped. A 30GB version has also been added to the iPod Photo family. The latest models have a longer battery life and their prices have been cut by an average of £40. The original iPod took an early lead in the digital music player market thanks to its large storage capacity and simple design.
 
 During 2004 about 25 million portable players were sold, 10 million of which were Apple iPods. But analysts agree that the success is also down to its integration with the iTunes online store, which has given the company a 70% share of the legal download music market. Mike McGuire, a research director at analyst Gartner, told the BBC News website that Apple had done a good job in ""sealing off the market from competition"" so far. ""They have created a very seamless package which I think is the idea of the product - the design, function and the software are very impressive,"" he said. He added that the threat from others was always present, however. ""Creative, other Microsoft-partnered devices, Real, Sony and so on, are ratcheting up the marketing message and advertising,"" he said. Creative was very upbeat about how many of its Creative Zen players it had shipped by the end of last year, he said. Its second-generation models, like the Creative Zen Micro Photo, is due out in the summer. It will have 5GB of memory on board.
 
 Digital music players are now the gadget of choice among young Americans, according to recent research by the Pew Internet and American Life Project. One in 10 US adults - 22 million people - now owns a digital music player of some sort. Sales of legally downloaded songs also rose more than tenfold in 2004, according to the record industry, with 200 million tracks bought online in the US and Europe in 12 months. The IFPI industry body said that the popularity of portable music players was behind the growth. Analysts say that the ease of use and growth of music services available on the net will continue to drive the trend towards portable music players.
 
 People are also starting to use them in novel ways. Some are combining automatic syncing functions many of them have with other net functions to automatically distribute DIY radio shows, called podcasts. But 2005 will also see more competition from mobile phone operators who are keen to offer streaming services on much more powerful and sophisticated handsets. According to Mr McGuire, research suggests that people like the idea of building up huge libraries of music, which they can do with high-capacity storage devices, like iPods and Creative Zens. Mobiles do not yet have this capacity though, and there are issues about the ease of portability of mobile music. Mr McGuire said Apple was ensuring it kept a foot in the mobile music door with its recent deal with Motorola to produce a version of iTunes for Motorola phones.
",tech
"IBM puts cash behind Linux push
 
 IBM is spending $100m (£52m) over the next three years beefing up its commitment to Linux software.
 
 The cash injection will be used to help its customers use Linux on every type of device from handheld computers and phones right up to powerful servers. IBM said the money will fund a variety of technical, research and marketing initiatives to boost Linux use. IBM said it had taken the step in response to greater customer demand for the open source software.
 
 In 2004 IBM said it had seen double digit growth in the number of customers using Linux to help staff work together more closely. The money will be used to help this push towards greater collaboration and will add Linux-based elements to IBM's Workplace software. Workplace is a suite of programs and tools that allow workers to get at core business applications no matter what device they use to connect to corporate networks. One of the main focuses of the initiative will be to make it easier to use Linux-based desktop computers and mobile devices with Workplace. Even before IBM announced this latest spending boost it was one of the biggest advocates of the open source way of working. In 2001 it put $300m into a three-year Linux program and has produced Linux versions of many of its programs. Linux and the open source software movement are based on the premise that developers should be free to tinker with the core components of software programs. They reason that more open scrutiny of software produces better programs and fuels innovation.
",tech
"EU software patent law faces axe
 
 The European Parliament has thrown out a bill that would have allowed software to be patented.
 
 Politicians unanimously rejected the bill and now it must go through another round of consultation if it is to have a chance of becoming law. During consultation the software patents bill could be substantially re-drafted or even scrapped. The bill was backed by some hi-tech firms, saying they needed protections it offered to make research worthwhile.
 
 Hugo Lueders, European director for public policy at CompTIA, an umbrella organization for technology companies, said only when intellectual property was adequately protected would European inventors prosper. He said the benefits of the bill had been obscured by special interest groups which muddied debate over the rights and wrongs of software patents. Other proponents of the bill said it was a good compromise that avoided the excesses of the American system which allows the patenting of business practices as well as software. But opponents of the bill said that it could stifle innovation, be abused by firms keen to protect existing monopolies and could hamper the growth of the open source movement. The proposed law had a troubled passage through the European parliament. Its progress was delayed twice when Polish MEPs rejected plans to adopt it. Also earlier this month the influential European Legal Affairs Committee (JURI) said the law should be re-drafted after it failed to win the support of MEPs. To become law both the European Parliament and a qualified majority of EU states have to approve of the draft wording of the bill. The latest rejection means that now the bill on computer inventions must go back to the EU for re-consideration.
",tech
"Mobiles 'not media players yet'
 
 Mobiles are not yet ready to be all-singing, all-dancing multimedia devices which will replace portable media players, say two reports.
 
 Despite moves to bring music download services to mobiles, people do not want to trade multimedia services with size and battery life, said Jupiter. A separate study by Gartner has also said real-time TV broadcasts to mobiles is ""unlikely"" in Europe until 2007. Technical issues and standards must be resolved first, said the report. Batteries already have to cope with other services that operators offer, like video playback, video messaging, megapixel cameras and games amongst others. Bringing music download services based on the success of computer-based download services will put more demands on battery life.
 
 Fifty percent of Europeans said the size of a mobile was the most important factor when it came to choosing their phone, but more power demands tend to mean larger handsets. ""Mobile phone music services must not be positioned to compete with the PC music experience as the handsets are not yet ready,"" said Thomas Husson, mobile analyst at Jupiter research. ""Mobile music services should be new and different, and enable operators to differentiate their brands and support third generation network launches."" Other problems facing mobile music include limited storage on phones, compared to portable players which can hold up to 40GB of music. The mobile industry is keen to get into music downloading, after the success of Apple's iTunes, Napster and other net music download services.
 
 With phones getting smarter and more powerful, there are also demands to be able to watch TV on the move. In the US, services like TiVo To Go let people transfer pre-recorded TV content onto their phones. But, the Gartner report on mobile TV broadcasting in Europe suggests direct broadcasting will have to wait. Currently, TV-like services, where clips are downloaded, are offered by several European operators, like Italy's TIM and 3. Mobile TV will have to overcome several barriers before it is widely taken up though, said the report.
 
 Various standards and ways of getting TV signals to mobiles are being worked on globally. In Europe, trials in Berlin and Helsinki are making use of terrestrial TV masts to broadcast compressed signals to handsets with extra receivers. A service from the Norwegian Broadcasting Corporation lets people watch TV programmes on their mobiles 24 hours a day. The service uses 3GP technology, one of the standards for mobile TV. But at the end of 2004, the European Telecommunications Institute (Etsi) formally adopted Digital Video Broadcasting Handheld (DVB-H) as the mobile TV broadcasting standard for Europe. Operators will be working on the standard as a way to bring real-time broadcasts to mobiles, as well as trying to overcome several other barriers. The cost and infrastructure needs to set up the services will need to be addressed. Handsets also need to be able to work with the DVB-H standard. TV services will have to live up to the expectations of the digital TV generation too, which expects good quality images at low prices, according to analysts. People are also likely to be put off watching TV on such small screens, said Gartner. Digital video recorders, like Europe's Sky+ box, and video-on-demand services mean people have much more control over what TV they watch. As a result, people may see broadcasting straight to mobiles as taking away that control. More powerful smartphones like the XDA II, Nokia 6600, SonyEricsson P900 and the Orange E200, offering web access, text and multimedia messaging, e-mail, calendar and gaming are becoming increasingly common. A report by analysts InStat/MDR has predicted that smartphone shipments will grow by 44% over the next five years. It says that smartphones will make up 117 million out of 833 million handsets shipped globally by 2009.
",tech
